id,miss
10,0.000462
11,0.000258
12,0.001316
13,0.001256
14,0.001133
15,0.000398
16,0.000842
17,0.000739
18,0.000849
19,0.001223
20,0.000947
21,0.000857
22,0.000853
23,0.000690
24,0.000889
25,0.000368
26,0.000931
27,0.000326
28,0.000432
29,0.000860
30,0.000056
31,0.000611
32,0.000860
33,0.000709
34,0.001190
35,0.000895
36,0.000674
37,0.001171
38,0.001220
39,0.001499
40,0.001524
41,0.001406
42,0.000768
43,0.000439
44,0.000251
45,0.000251
46,0.001772
47,0.001262
48,0.000304
49,0.000182
50,0.001862
51,0.000744
52,0.001251
53,0.000794
54,0.000058
55,0.000521
56,0.000457
57,0.000831
58,0.000172
59,0.000325
60,0.000941
61,0.000898
62,0.000072
63,0.000318
64,0.000351
65,0.000501
66,0.000152
67,0.000406
68,0.000577
69,0.000129
70,0.000308
71,0.000237
72,0.000099
73,0.000401
74,0.000082
75,0.000259
76,0.000117
77,0.000589
78,0.000620
79,0.000713
80,0.000610
81,0.000603
82,0.000827
83,0.000182
84,0.001063
85,0.000476
86,0.000482
87,0.001039
88,0.000598
89,0.000649
90,0.000566
91,0.000823
92,0.000472
93,0.001278
94,0.000105
95,0.000038
96,0.001109
97,0.000084
98,0.000862
99,0.000313
100,0.001149
101,0.001013
102,0.001205
103,0.000694
104,0.001431
105,0.001153
106,0.000857
107,0.000498
108,0.001663
109,0.000292
110,0.000974
111,0.000637
112,0.000219
113,0.000153
114,0.002194
115,0.001556
116,0.001757
117,0.001839
118,0.000227
119,0.000786
120,0.002079
121,0.001735
122,0.002124
123,0.001718
124,0.001039
125,0.000564
126,0.000225
127,0.001032
128,0.001520
129,0.001584
130,0.000809
131,0.001450
132,0.000741
133,0.001274
134,0.001355
135,0.001677
136,0.000833
137,0.000576
138,0.000555
139,0.001139
140,0.000257
141,0.001255
142,0.000859
143,0.001564
144,0.000477
145,0.000824
146,0.000548
147,0.000209
148,0.000851
149,0.000626
150,0.000507
151,0.000949
152,0.000299
153,0.000231
154,0.000526
155,0.000574
156,0.000186
157,0.000856
158,0.000079
159,0.000243
160,0.001579
161,0.001578
162,0.001578
163,0.001218
164,0.001671
165,0.001580
166,0.001421
167,0.001488
168,0.001347
169,0.001113
170,0.000581
171,0.001542
172,0.000223
173,0.001681
174,0.001504
175,0.001161
176,0.000259
177,0.001433
178,0.001502
179,0.000038
180,0.001178
181,0.001491
182,0.001300
183,0.001118
184,0.000815
185,0.000023
186,0.001577
187,0.000133
188,0.001090
189,0.002231
190,0.000250
191,0.001773
192,0.000401
193,0.001975
194,0.000484
195,0.001617
196,0.001198
197,0.000059
198,0.001625
199,0.000467
200,0.001030
201,0.001485
202,0.000483
203,0.000658
204,0.000938
205,0.001108
206,0.000768
207,0.000143
208,0.000890
209,0.000396
210,0.001197
211,0.000475
212,0.000931
213,0.000115
214,0.001214
215,0.001578
216,0.001480
217,0.001214
218,0.001404
219,0.000353
220,0.001160
221,0.000063
222,0.001203
223,0.001170
224,0.000735
225,0.000775
226,0.000462
227,0.001092
228,0.001151
229,0.001504
230,0.001150
231,0.001229
232,0.001156
233,0.000291
234,0.001046
235,0.000984
236,0.001127
237,0.001260
238,0.001677
239,0.001720
240,0.000607
241,0.001380
242,0.001005
243,0.001180
244,0.001245
245,0.000239
246,0.001417
247,0.000792
248,0.001322
249,0.000116
250,0.001330
251,0.000476
252,0.000965
253,0.000759
254,0.000819
255,0.000754
256,0.001130
257,0.001875
258,0.000377
259,0.001226
260,0.000151
261,0.001775
262,0.000350
263,0.001531
264,0.001320
265,0.001626
266,0.001153
267,0.000797
268,0.000224
269,0.001579
270,0.001259
271,0.000463
272,0.000067
273,0.000871
274,0.000742
275,0.000736
276,0.001176
277,0.001051
278,0.001481
279,0.001133
280,0.001171
281,0.001529
282,0.000714
283,0.000317
284,0.001709
285,0.000396
286,0.000159
287,0.001202
288,0.001974
289,0.000493
290,0.000196
291,0.000201
292,0.000017
293,0.000135
294,0.000026
295,0.000721
296,0.001673
297,0.001282
298,0.001115
299,0.001235
300,0.000504
301,0.000190
302,0.000557
303,0.000330
304,0.001603
305,0.001586
306,0.000701
307,0.000155
308,0.000412
309,0.000599
310,0.000101
311,0.000188
312,0.000152
313,0.000446
314,0.001992
315,0.001311
316,0.000255
317,0.000180
318,0.000413
319,0.000383
320,0.000714
321,0.000429
322,0.000190
323,0.000496
324,0.000293
325,0.000430
326,0.000185
327,0.001611
328,0.000296
329,0.001131
330,0.000156
331,0.001730
332,0.001628
333,0.000025
334,0.000166
335,0.001337
336,0.000559
337,0.001403
338,0.001569
339,0.000908
340,0.001068
341,0.000612
342,0.000789
343,0.001085
344,0.001763
345,0.000383
346,0.000538
347,0.001000
