id,miss
649,0.001174
650,0.001693
651,0.000016
652,0.001106
653,0.001470
654,0.001514
655,0.001566
656,0.000221
657,0.001558
658,0.001133
659,0.000082
660,0.001346
661,0.001356
662,0.000204
663,0.001195
664,0.000459
665,0.001003
666,0.001456
667,0.000473
668,0.000756
669,0.000108
670,0.001137
671,0.000302
672,0.000111
673,0.001152
674,0.000301
675,0.000549
676,0.000293
677,0.001273
678,0.000381
679,0.001216
680,0.000162
681,0.000381
682,0.000443
683,0.001135
684,0.001142
685,0.000358
686,0.001007
687,0.000007
688,0.000902
689,0.000105
690,0.001000
691,0.000552
692,0.000385
693,0.000428
694,0.000901
695,0.001196
696,0.000830
697,0.001269
698,0.000243
699,0.000878
700,0.000615
701,0.000313
702,0.001172
703,0.001358
704,0.001374
705,0.001163
706,0.000740
707,0.001135
708,0.000281
709,0.000071
710,0.000455
711,0.000847
712,0.001078
713,0.000816
714,0.001374
715,0.001226
716,0.000669
717,0.000237
718,0.000963
719,0.000132
720,0.001460
721,0.000328
722,0.001537
723,0.000397
724,0.000111
725,0.001303
726,0.000444
727,0.001284
728,0.001389
729,0.000124
730,0.001683
731,0.000845
732,0.000369
733,0.000120
734,0.000046
735,0.000512
736,0.001622
737,0.000147
738,0.001772
739,0.000095
740,0.001426
741,0.001835
742,0.000024
743,0.001813
744,0.001881
745,0.001608
746,0.000009
747,0.002400
748,0.001798
749,0.000987
750,0.001705
751,0.000611
752,0.001144
753,0.000220
754,0.001227
755,0.000660
756,0.001161
757,0.000675
758,0.000328
759,0.001490
760,0.001711
761,0.001569
762,0.000282
763,0.001426
764,0.001324
765,0.001572
766,0.001450
767,0.001124
768,0.000478
769,0.000722
770,0.000080
771,0.001431
772,0.001065
773,0.000555
774,0.000659
775,0.000800
776,0.000728
777,0.000550
778,0.001368
779,0.001546
780,0.001578
781,0.001489
782,0.000424
783,0.001039
784,0.001051
785,0.001576
786,0.001566
787,0.000644
788,0.001171
789,0.000081
790,0.001186
791,0.000047
792,0.000696
793,0.001130
794,0.000563
795,0.000770
796,0.001025
797,0.000654
798,0.001233
799,0.001084
800,0.000251
801,0.000806
802,0.000105
803,0.001011
804,0.000823
805,0.001171
806,0.000879
807,0.001301
808,0.001005
809,0.001343
810,0.001102
811,0.001148
812,0.001310
813,0.000832
814,0.001568
815,0.001461
816,0.000954
817,0.000566
818,0.001660
819,0.001416
820,0.001457
821,0.001440
822,0.001377
823,0.001132
824,0.001329
825,0.000726
826,0.001090
827,0.001698
828,0.001195
829,0.001428
830,0.001164
831,0.000466
832,0.000981
833,0.001443
834,0.001053
835,0.000666
836,0.000983
837,0.000691
838,0.000253
839,0.001225
840,0.000815
841,0.000990
842,0.000172
843,0.000735
844,0.001223
845,0.000569
846,0.001011
847,0.000697
848,0.001161
849,0.000778
850,0.000681
851,0.001184
852,0.001634
853,0.001463
854,0.001270
855,0.001296
856,0.001585
857,0.001371
858,0.001151
859,0.000972
860,0.000824
861,0.001644
862,0.001449
863,0.001237
864,0.001210
865,0.001568
866,0.001269
867,0.001219
868,0.001373
869,0.001216
870,0.001461
871,0.001289
872,0.001183
873,0.000972
874,0.001456
875,0.001314
876,0.001673
877,0.001409
878,0.000729
879,0.000830
880,0.001110
881,0.000625
882,0.001030
883,0.000832
884,0.000359
885,0.000492
886,0.000764
887,0.000821
888,0.001527
889,0.001112
890,0.000235
891,0.000830
892,0.001797
893,0.001623
894,0.000934
895,0.001198
896,0.000793
897,0.000302
898,0.001081
899,0.000820
900,0.000899
901,0.001222
902,0.001373
903,0.001370
904,0.001239
905,0.000603
906,0.000706
907,0.001669
908,0.001552
909,0.001670
910,0.001575
911,0.000549
912,0.001035
913,0.001511
914,0.001325
915,0.001330
916,0.001352
917,0.001543
918,0.001138
919,0.001246
920,0.000484
921,0.001023
922,0.001215
923,0.001274
924,0.000398
925,0.001259
926,0.001604
927,0.000683
928,0.000908
929,0.000670
930,0.000219
931,0.001232
932,0.001291
933,0.001352
934,0.001580
935,0.001741
936,0.001263
937,0.001176
938,0.001372
939,0.001696
940,0.000800
941,0.000784
942,0.000597
943,0.000532
944,0.000858
945,0.000792
946,0.001077
947,0.001586
948,0.000987
949,0.001247
950,0.001226
951,0.000468
952,0.000674
953,0.001071
954,0.000587
955,0.000185
956,0.001037
957,0.000626
958,0.001217
959,0.000083
960,0.000142
961,0.000715
962,0.000730
963,0.001287
964,0.000946
965,0.000234
966,0.001161
967,0.000619
968,0.000659
969,0.000151
970,0.001316
971,0.001075
972,0.000571
973,0.000385
974,0.001521
975,0.000070
976,0.000805
977,0.000316
978,0.000399
979,0.001158
980,0.000942
981,0.000488
982,0.000479
983,0.000444
984,0.000247
985,0.000107
986,0.000561
987,0.001339
988,0.000222
989,0.000513
990,0.000138
991,0.000665
992,0.000171
993,0.000639
994,0.000249
995,0.000103
996,0.000949
997,0.000103
998,0.000439
999,0.000485
